Para-9,Para-10,Para-11,Para-12,Para-13
6.3,82.0,28.0,3.0,1.583
5.4710001945495605,54.516998291015625,28.01099967956543,3.4619998931884766,1.5490000247955322
0.829,27.483,0.011,0.462,0.034
