Para-9,Para-10,Para-11,Para-12,Para-13
1.9,38.7,10.0,16.0,2.106
1.86899995803833,33.52000045776367,6.927000045776367,16.035999298095703,1.968000054359436
0.031,5.18,3.073,0.036,0.138
