Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_67,1,796.0,878.0,24.0,0.0,16,108,7849,1115,0.0,0.0,0.0,4,0.511
,2,796.0,1081.8,24.4,0.0,25,114,8041,1142,0.0,0.0,0.0,4,0.542
,3,796.0,1473.4,23.8,0.0,29,107,8150,900,0.0,0.0,0.0,5,0.564
,4,796.0,1008.3,23.1,0.0,29,109,7590,650,0.0,0.0,0.0,5,0.592
,5,796.0,1234.7,23.0,0.0,39,106,7000,420,0.0,0.0,0.0,6,0.614
,6,796.0,1558.3,23.7,0.0,35,108,7850,114,0.0,0.0,0.0,6,0.634
,7,796.0,1846.9,23.0,0.0,45,111,9071,131,0.0,0.0,0.0,6,0.662
,8,796.0,1146.6,22.8,0.0,31,108,9240,223,0.0,0.0,0.0,7,0.678
,9,796.0,1368.9,23.8,0.0,26,105,9500,231,0.0,0.0,0.0,7,0.681
,10,796.0,1201.2,23.9,0.0,33,106,9700,237,0.0,0.0,0.0,7,0.692
