Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_82,1,406.0,462.9,1.8,1769.0,21,116,1794,497,0.0,1.4,4.0,7,1.213
,2,406.0,488.8,2.0,1680.0,20,120,1557,319,0.0,2.3,4.0,7,1.239
,3,406.0,517.8,3.1,1484.6,21,114,1688,346,0.0,7.2,6.0,7,1.24
,4,406.0,429.3,2.8,1300.0,17,126,1731,355,0.0,8.5,6.0,7,1.264
,5,406.0,511.9,2.6,1393.0,20,112,1745,358,0.0,17.5,9.0,7,1.276
,6,406.0,499.5,1.8,1847.8,18,114,2000,400,0.0,21.3,9.0,7,1.29
,7,406.0,450.5,1.4,1854.0,19,117,2130,370,0.0,24.6,10.0,7,1.342
,8,406.0,645.3,0.3,2341.0,19,118,2130,370,0.0,37.5,12.0,8,1.421
,9,406.0,510.1,2.7,1427.1,22,122,2320,400,0.2,42.7,13.0,8,1.493
,10,406.0,342.9,3.9,1401.4,17,126,2320,400,0.3,46.8,13.0,9,1.611
