Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_25,1,271.8,354.5,17.0,0.0,3,117,2600,400,0.0,0.0,0.0,6,0.912
,2,271.8,161.1,18.2,0.0,4,106,5950,1190,0.0,0.0,0.0,6,1.012
,3,271.8,170.7,18.5,0.0,4,110,5950,1190,0.0,18.3,0.0,6,1.026
,4,271.8,223.9,18.9,0.0,3,113,6260,1250,180.4,25.3,0.0,7,1.0678
,5,271.8,228.2,18.4,0.1,2,114,6680,1500,184.3,37.2,0.0,7,1.086
,6,271.8,225.0,17.2,0.0,4,103,6900,1630,209.3,61.0,1.0,8,1.346
,7,271.8,130.0,18.4,0.0,3,114,7460,1850,335.7,130.3,1.0,8,1.403
,8,271.8,100.6,19.0,0.0,2,108,8540,2180,338.4,260.4,1.0,8,1.475
,9,271.8,176.5,19.0,0.0,3,105,7200,2300,341.2,300.6,105.0,8,1.552
,10,271.8,53.6,19.0,0.0,2,110,4080,940,345.1,316.6,184.0,8,1.609
