Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_7,1,264.2,435.9,12.9,9.8,6,117,2900,900,0.0,0.0,0.0,9,1.181
,2,264.2,433.8,12.4,78.3,5,107,3400,1000,0.0,0.0,0.0,9,1.263
,3,264.2,326.2,12.8,56.2,6,116,3600,1100,0.0,23.5,10.0,10,1.292
,4,264.2,179.1,13.8,39.0,3,119,3400,1000,0.0,40.2,14.0,10,1.371
,5,264.2,373.3,12.6,107.0,5,115,3600,1100,0.0,77.8,17.0,11,1.489
,6,264.2,417.7,12.3,20.0,7,113,3750,1150,0.0,129.4,24.0,11,1.569
,7,264.2,494.8,12.5,36.0,7,116,3800,1150,0.0,165.3,31.0,11,2.126
,8,264.2,473.2,12.2,9.0,6,130,4000,1200,0.0,193.5,35.0,14,2.534
,9,264.2,315.6,13.0,15.5,5,118,4100,1240,0.0,201.5,41.0,40,3.065
,10,264.2,231.7,13.4,4.5,6,0,4300,1300,0.0,246.9,48.0,176,3.164
