Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_33,1,619.76,1396.7,15.3,30.3,20,118,1083,474,0.0,0.0,0.0,2,0.787
,2,619.76,1459.9,17.2,6.4,13,118,1115,489,0.0,0.0,0.0,2,0.792
,3,619.76,1190.3,16.6,20.4,11,118,1149,503,0.0,0.0,0.0,2,0.801
,4,619.76,944.8,16.4,41.0,12,113,1183,518,0.0,32.1,1.0,2,0.804
,5,619.76,1469.2,15.7,20.0,17,117,1219,534,0.0,60.9,0.0,2,0.807
,6,619.76,1402.5,16.4,11.0,17,117,1255,550,0.6,160.4,0.0,2,0.809
,7,619.76,1671.9,15.8,26.0,13,112,1293,566,6.2,191.5,1.0,2,0.81
,8,619.76,1588.4,16.3,16.0,21,112,1332,583,6.9,206.4,19.0,3,0.826
,9,619.76,1411.8,16.3,7.0,12,113,1372,601,24.1,219.4,0.0,3,0.829
,10,619.76,1249.9,16.6,4.0,15,115,1413,619,305.0,229.7,22.0,3,0.834
