Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_24,1,279.4,160.5,18.4,0.0,4,106,5940,1160,0.0,0.0,0.0,4,1.16
,2,279.4,161.1,18.2,0.0,4,106,5950,1190,0.0,0.0,0.0,5,1.18
,3,279.4,170.7,18.5,0.0,4,110,5950,1190,7.6,0.0,0.0,7,1.183
,4,279.4,223.9,18.9,0.0,3,110,6260,1250,14.3,0.0,0.0,7,1.184
,5,279.4,228.2,18.4,0.1,2,113,6680,1500,22.4,0.0,0.0,8,1.186
,6,279.4,225.0,17.2,0.0,4,114,6950,1750,25.3,0.0,0.0,8,1.218
,7,279.4,130.0,18.4,0.0,3,103,7635,1950,27.4,0.0,115.0,9,1.258
,8,279.4,100.6,19.0,0.0,2,114,8540,2180,59.6,23.5,121.0,10,1.269
,9,279.4,176.5,19.0,0.0,3,108,9120,2300,69.7,30.6,231.0,11,1.292
,10,279.4,53.6,19.0,0.0,2,105,9870,2450,74.5,58.2,266.4,14,1.332
