Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_22,1,533.2,340.4,15.6,0.0,4,115,2230,346,10.9,0.0,0.0,4,0.715
,2,533.3,218.6,17.4,0.0,4,112,2300,350,11.3,0.0,0.0,4,0.725
,3,533.3,304.7,17.8,1.0,3,114,2400,375,100.5,0.0,0.0,7,0.781
,4,533.3,354.5,17.0,0.0,3,117,2600,390,210.7,0.0,0.0,7,0.796
,5,533.3,161.1,18.2,0.0,4,106,2800,400,300.59,2.0,0.0,7,0.929
,6,533.3,170.7,18.5,0.0,4,110,3020,660,355.9,3.0,0.0,7,0.991
,7,533.3,223.9,18.9,0.0,3,110,3060,720,380.9,4.0,6.0,8,1.1
,8,533.3,228.2,18.4,0.1,2,113,3200,700,426.2,4.0,6.0,8,1.183
,9,533.3,225.0,17.2,0.0,4,114,3350,790,513.5,5.0,6.0,10,1.585
,10,533.3,130.0,18.4,0.0,3,103,3500,900,579.1,5.0,10.0,10,1.563
