Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_35,1,442.0,645.0,8.2,206.0,4,117,5425,3905,0.0,0.0,0.0,0,0.721
,2,442.0,649.0,8.7,48.2,4,117,5475,2663,0.0,0.0,0.0,0,0.772
,3,442.0,745.6,9.4,139.0,5,115,6300,2821,0.0,50.4,0.0,1,0.813
,4,442.0,846.1,7.1,270.0,5,120,6608,3257,0.0,71.6,2.0,2,0.864
,5,442.0,580.2,8.3,204.5,4,112,5852,2218,0.0,79.5,4.0,2,1.945
,6,442.0,1101.2,8.7,78.2,6,121,5240,2020,0.0,86.4,6.0,3,1.081
,7,442.0,1039.7,8.9,99.0,5,114,5649,2350,0.0,106.3,10.0,3,1.106
,8,442.0,605.7,8.4,104.4,4,114,4816,2611,31.5,210.5,51.0,2,1.182
,9,442.0,1243.4,7.7,145.3,3,110,5600,2923,39.9,312.5,57.0,5,1.249
,10,442.0,667.3,8.1,161.0,5,114,5970,3130,67.1,391.1,61.0,5,1.519
