Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_95,1,331.0,436.2,2.5,2177.0,14,117,1746,300,0.0,16.7,15.0,3,1.097
,2,331.0,409.9,3.4,1719.0,18,116,2226,327,0.0,19.4,18.0,3,2.112
,3,331.0,701.4,3.6,1793.1,20,114,2204,324,0.0,22.2,18.0,5,2.148
,4,331.0,461.6,3.1,1514.0,22,118,2358,347,0.0,29.4,19.0,5,2.209
,5,331.0,641.6,2.9,1567.0,21,114,2523,371,0.0,37.4,21.0,8,2.298
,6,331.0,479.8,3.8,1722.0,19,116,2700,397,0.0,53.2,24.0,8,2.452
,7,331.0,570.6,2.6,2051.9,20,116,2889,425,0.0,68.5,26.0,8,2.612
,8,331.0,643.6,0.9,2461.0,20,109,3091,454,0.0,74.3,26.0,9,2.762
,9,331.0,688.9,3.4,1712.1,20,120,3308,486,0.0,78.9,28.0,11,2.89
,10,331.0,703.2,4.9,1381.1,20,114,3539,520,1.7,81.4,31.0,11,2.94
