Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_21,1,459.7,390.5,16.4,0.0,3,112,3080,248,0.0,0.0,0.0,0,0.61
,2,459.7,396.7,17.8,0.0,5,115,3960,320,0.0,0.0,0.0,0,0.64
,3,459.7,210.2,18.7,0.0,3,113,4400,352,0.0,0.0,1.0,0,0.65
,4,459.7,539.7,17.4,2.0,4,116,4100,410,0.0,0.0,1.0,1,0.67
,5,459.7,377.0,17.2,0.0,3,121,3600,450,0.0,0.0,1.0,2,0.73
,6,459.7,539.1,17.5,0.0,4,123,3800,475,0.0,5.6,2.0,2,0.74
,7,459.7,422.7,17.6,0.0,3,114,3900,495,0.0,12.4,5.0,3,0.76
,8,459.7,466.0,18.1,0.0,2,120,4050,522,0.0,67.7,9.0,4,0.77
,9,459.7,322.1,18.4,0.0,3,110,4230,553,0.4,76.2,13.0,6,0.81
,10,459.7,190.4,18.9,0.0,2,114,4360,567,1.2,86.3,16.0,6,0.845
