Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_57,1,512.0,392.8,11.4,217.0,5,111,8820,1062,33.3,4.0,25.0,5,2.291
,2,512.0,609.6,11.3,153.0,6,99,8640,1130,33.5,22.3,41.0,5,2.425
,3,512.0,731.8,11.1,128.0,5,101,8640,1220,33.7,64.4,44.0,6,2.597
,4,512.0,712.3,11.3,101.0,7,103,9135,1240,33.8,92.3,47.0,6,2.665
,5,512.0,625.0,10.4,156.0,7,105,9720,1260,64.1,120.9,63.0,8,3.005
,6,512.0,518.2,11.8,79.3,6,102,10300,1290,101.1,151.4,69.0,9,3.182
,7,512.0,439.8,11.2,99.8,7,102,10800,1330,116.6,200.6,71.0,10,3.37
,8,512.0,527.3,11.5,160.0,4,99,11100,1365,205.4,200.9,81.0,10,3.521
,9,512.0,526.8,10.8,191.8,5,105,11430,1391,224.3,207.6,87.0,11,3.571
,10,512.0,641.5,11.5,107.0,5,104,12831,1528,335.8,217.9,92.0,12,3.712
