Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_85,1,771.0,649.3,3.0,1215.0,20,122,3280,550,0.0,112.6,37.0,5,1.281
,2,771.0,385.8,4.7,846.0,16,117,3520,590,0.0,116.7,42.0,5,1.292
,3,771.0,429.3,3.4,1114.0,20,118,3560,590,0.0,125.1,48.0,6,1.332
,4,771.0,632.4,3.3,1346.0,23,116,4545,533,2.5,134.4,52.0,7,1.367
,5,771.0,641.8,3.6,1076.0,23,116,4770,710,6.3,142.3,64.0,8,1.395
,6,771.0,645.5,4.1,904.0,25,116,5160,780,8.9,153.2,69.0,9,1.423
,7,771.0,727.5,4.2,1116.0,18,116,5280,780,14.5,159.4,74.0,9,1.464
,8,771.0,607.4,3.6,1185.0,24,111,4870,660,19.3,164.5,86.0,10,1.513
,9,771.0,533.7,3.4,1282.0,20,125,4730,680,22.5,167.4,93.0,11,1.584
,10,771.0,503.9,2.5,1481.0,19,112,4740,680,24.7,170.4,103.0,12,1.62
