Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_60,1,349.0,827.2,6.9,400.0,7,107,6345,305,0.0,0.0,6.0,4,1.182
,2,349.0,1010.6,6.5,376.2,7,108,6660,265,0.0,0.0,14.0,5,1.214
,3,349.0,691.4,6.7,370.0,9,104,8010,310,0.0,0.0,14.0,5,1.225
,4,349.0,705.0,6.0,411.0,8,107,8530,360,0.0,67.4,15.0,7,1.234
,5,349.0,673.0,7.3,330.3,7,103,9100,410,0.0,75.4,16.0,7,1.253
,6,349.0,689.0,6.6,291.7,8,107,9640,460,1.3,87.8,18.0,10,1.271
,7,349.0,781.6,6.9,423.0,8,100,9800,495,2.4,96.3,21.0,10,1.312
,8,349.0,660.5,6.4,498.6,7,105,10170,530,3.5,112.5,14.0,12,1.339
,9,349.0,828.9,7.0,336.6,8,108,10670,550,6.4,135.4,27.0,18,1.364
,10,349.0,819.5,7.2,246.8,7,105,10310,530,8.3,146.7,57.0,22,1.38
