Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_11,1,520.7,539.7,17.4,2.0,4,116,3470,490,0.0,145.1,0.0,18,0.391
,2,520.7,377.0,17.2,0.0,3,113,3600,525,0.0,155.7,0.0,18,0.398
,3,520.7,539.1,17.5,0.0,4,116,3800,550,1.7,170.8,2.0,18,0.4
,4,520.7,422.7,17.6,0.0,3,121,3900,590,2.3,178.2,25.0,19,0.411
,5,520.7,466.0,18.1,0.0,2,123,4000,370,7.1,189.2,64.0,19,0.432
,6,520.7,322.1,18.4,0.0,3,114,4800,580,14.5,205.3,71.0,20,0.455
,7,520.7,190.4,18.9,0.0,2,120,5100,550,21.4,222.3,78.0,20,0.469
,8,520.7,297.5,18.3,0.0,2,110,5300,500,27.8,270.6,88.0,22,0.476
,9,520.7,326.3,17.2,0.0,4,114,4400,550,31.2,288.6,91.0,23,0.527
,10,520.7,160.8,18.5,0.0,3,113,10675,1413,38.9,307.0,98.0,23,0.54
