Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_83,1,406.0,444.2,3.4,1168.8,19,113,1920,340,0.0,2.8,9.0,5,1.432
,2,406.0,559.9,2.3,1526.0,18,121,1970,430,0.0,8.5,14.0,5,1.464
,3,406.0,364.6,4.3,1027.0,16,113,2000,440,0.0,15.3,14.0,6,1.482
,4,406.0,293.2,2.9,1302.0,12,115,2000,560,0.0,18.3,15.0,6,1.516
,5,406.0,662.4,2.7,1564.0,22,117,2108,512,0.0,38.4,17.0,7,1.532
,6,406.0,620.1,2.6,1294.0,22,117,2190,575,1.7,43.6,20.0,8,1.568
,7,406.0,637.7,3.5,1052.0,23,123,2250,590,2.4,51.2,21.0,9,1.593
,8,406.0,695.7,3.3,1366.0,17,122,2350,550,3.5,56.3,24.0,10,1.612
,9,406.0,552.3,2.7,1537.0,21,112,2510,590,4.8,70.3,24.0,11,1.621
,10,406.0,593.1,2.2,1642.0,24,130,2510,610,6.0,76.9,27.0,11,1.642
