Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_41,1,726.0,1209.4,10.8,23.0,6,108,1125,379,0.0,0.0,0.0,1,1.251
,2,726.0,1325.6,11.0,33.0,4,114,1500,485,0.0,0.0,0.0,2,1.302
,3,726.0,1091.0,11.6,0.0,6,108,2320,447,0.0,0.0,0.0,2,1.371
,4,726.0,1529.6,12.5,0.0,6,110,2280,430,0.0,0.0,0.0,3,1.401
,5,726.0,1581.4,10.9,5.0,5,111,2360,450,0.0,0.0,13.0,3,1.419
,6,726.0,1213.8,10.9,1.5,9,115,2440,470,0.0,0.0,13.0,4,1.675
,7,726.0,2186.9,11.8,0.0,5,119,2440,470,0.0,16.5,13.0,4,1.783
,8,726.0,2386.0,11.8,1.0,6,114,2400,462,2.7,87.8,15.0,5,1.834
,9,726.0,1168.0,11.3,0.9,11,112,3040,585,5.3,151.0,21.0,5,1.912
,10,726.0,2253.1,10.7,10.0,6,111,2400,456,7.1,174.4,29.0,6,1.958
