Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_91,1,473.0,461.5,5.8,691.8,15,120,1990,310,0.0,0.0,0.0,2,0.952
,2,473.0,471.0,6.8,665.9,12,109,2070,320,1.1,0.0,0.0,4,1.025
,3,473.0,365.8,6.8,339.1,12,119,2530,270,1.7,0.0,0.0,5,1.029
,4,473.0,300.1,5.6,747.0,11,117,2550,530,2.3,27.8,1.0,5,1.034
,5,473.0,279.9,6.6,617.0,10,116,2590,560,4.3,45.3,1.0,5,1.046
,6,473.0,563.4,5.1,674.0,17,112,2630,320,6.5,50.3,2.0,6,1.047
,7,473.0,402.4,6.2,759.0,8,125,2665,570,11.8,58.1,2.0,6,1.052
,8,473.0,481.0,6.1,576.0,13,129,2700,630,24.9,67.5,2.0,9,1.081
,9,473.0,773.5,5.6,647.0,16,115,2640,460,27.5,78.5,4.0,10,1.098
,10,473.0,438.1,6.3,541.0,16,111,2770,550,31.5,91.9,4.0,11,1.162
