Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_63,1,811.0,393.9,7.8,506.0,4,113,4050,740,0.0,10.8,0.0,11,0.994
,2,811.0,394.3,6.7,533.2,7,115,4120,770,0.0,31.2,0.0,12,1.104
,3,811.0,446.1,7.4,489.0,7,108,3975,675,0.0,36.4,0.0,12,1.129
,4,811.0,510.2,6.1,573.0,7,107,4000,695,0.0,40.6,1.0,12,1.162
,5,811.0,365.4,8.0,448.0,6,106,4135,725,0.0,79.3,1.0,12,1.188
,6,811.0,458.9,7.4,252.6,6,110,4270,760,5.5,87.3,2.0,13,1.212
,7,811.0,526.7,7.4,513.0,5,107,4400,795,8.3,96.4,3.0,13,1.243
,8,811.0,490.7,7.0,512.1,6,112,4565,835,18.4,102.4,3.0,13,1.295
,9,811.0,351.7,7.5,388.5,8,110,4795,850,29.5,112.5,4.0,14,1.303
,10,811.0,325.8,7.8,258.3,8,108,4910,860,36.7,121.3,4.0,14,1.354
