Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_17,1,432.0,218.8,14.2,1.0,3,102,6412,1596,0.0,0.0,0.0,0,0.31
,2,432.0,269.0,14.8,1.0,3,112,6783,1689,0.0,0.0,0.0,0,0.33
,3,432.0,362.5,14.7,10.0,4,117,7175,1787,0.0,0.0,0.0,2,0.341
,4,432.0,176.8,14.9,4.0,3,107,7567,1885,0.0,0.0,0.0,2,0.347
,5,432.0,327.3,15.0,4.0,3,115,5174,3130,0.0,0.0,0.0,3,0.351
,6,432.0,470.6,14.3,3.0,4,109,5190,2737,0.0,0.0,0.0,3,0.365
,7,432.0,520.1,14.1,4.0,6,115,4777,2365,7.0,158.1,0.0,3,0.382
,8,432.0,288.2,14.3,6.0,3,115,5201,2808,18.7,239.9,1.0,3,0.402
,9,432.0,328.5,14.7,22.0,2,119,6167,2984,23.1,274.2,20.0,3,0.415
,10,432.0,502.8,14.1,19.0,4,111,6250,3100,25.6,288.3,50.0,3,0.445
