Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_66,1,1402.0,1289.4,12.5,75.4,21,114,4352,392,0.0,0.0,0.0,1,0.835
,2,1402.0,1158.1,14.0,26.2,22,117,4613,416,0.0,0.0,0.0,14,0.841
,3,1402.0,1241.6,13.4,59.4,22,116,4890,440,0.0,0.0,0.0,5,0.845
,4,1402.0,1281.0,12.2,157.0,28,117,5183,467,0.8,0.0,0.0,5,0.852
,5,1402.0,1009.5,13.2,43.0,23,127,5494,495,11.4,0.0,0.0,5,0.868
,6,1402.0,1166.8,14.0,36.0,19,119,5824,525,26.1,0.0,0.0,5,0.882
,7,1402.0,1718.6,12.0,148.0,34,117,6173,556,90.9,33.4,0.0,6,0.958
,8,1402.0,1224.3,13.0,165.0,33,120,6544,589,155.7,36.7,0.0,6,1.073
,9,1402.0,1352.7,13.0,129.0,21,122,6936,625,238.0,39.3,0.0,7,1.145
,10,1402.0,1272.8,14.0,23.0,28,121,7353,662,275.4,43.8,0.0,7,1.211
