Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_3,1,487.7,222.4,21.3,0.0,3,107,1850,610,0.0,0.0,0.0,0,1.211
,2,487.7,224.9,21.2,0.0,3,109,1880,660,0.0,0.0,0.0,0,1.241
,3,487.7,226.6,21.1,0.0,3,108,1380,490,31.6,0.0,0.0,10,1.273
,4,487.7,424.4,21.2,0.0,2,105,1760,620,33.7,0.0,0.0,11,1.0
,5,487.7,257.1,21.2,0.0,4,111,1700,610,36.7,0.0,0.0,11,1.356
,6,487.7,256.0,21.8,0.0,3,109,1600,610,40.6,0.0,0.0,12,1.269
,7,487.7,226.7,22.1,0.0,3,108,1760,860,66.6,0.0,0.0,13,1.311
,8,487.7,82.7,22.6,0.0,2,106,1800,900,71.6,0.0,0.0,13,1.39
,9,487.7,135.4,22.2,0.0,2,109,1900,1130,75.4,0.0,0.0,14,1.414
,10,487.7,93.2,22.5,0.0,4,110,2140,1270,78.5,0.0,0.0,16,1.432
