Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_69,1,796.0,1181.0,23.8,0.0,24,110,11630,350,28.0,2.5,16.0,5,1.102
,2,796.0,1038.5,22.3,0.0,18,111,11900,385,39.5,2.9,21.0,5,1.085
,3,796.0,1178.8,24.4,0.0,24,110,12234,405,51.8,3.8,21.0,5,1.121
,4,796.0,1132.3,23.9,0.0,19,109,12340,390,57.8,4.4,23.0,5,1.177
,5,796.0,1302.3,24.0,0.0,21,104,12590,430,66.8,5.3,27.0,6,1.801
,6,796.0,1166.8,23.9,0.0,25,108,12650,460,73.5,6.4,27.0,6,1.837
,7,796.0,1099.2,25.1,0.0,27,109,12710,445,81.7,7.3,33.0,6,1.828
,8,796.0,1611.8,23.9,0.0,32,112,12785,480,89.4,7.8,35.0,9,1.853
,9,796.0,1507.7,24.4,0.0,20,109,12840,495,96.5,8.6,39.0,9,1.883
,10,796.0,947.6,24.1,0.0,20,105,12940,490,99.3,9.2,42.0,12,1.912
