Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_93,1,589.0,411.4,2.4,2089.0,12,111,1272,249,0.0,7.4,11.0,7,1.392
,2,589.0,388.0,3.2,1676.0,19,120,1454,276,0.0,13.4,16.0,7,1.418
,3,589.0,575.2,3.3,1761.8,17,113,1427,271,0.0,20.7,16.0,7,1.422
,4,589.0,489.5,3.0,1399.0,20,119,1484,282,0.0,22.6,16.0,8,1.505
,5,589.0,624.8,2.6,1523.0,20,119,1543,293,0.0,28.0,17.0,8,1.507
,6,589.0,437.4,3.1,1755.0,17,111,1605,305,0.0,29.3,17.0,8,1.59
,7,589.0,525.1,2.1,2017.6,19,117,1669,317,1.6,67.0,18.0,9,1.615
,8,589.0,604.7,0.6,2455.0,21,111,1736,330,4.5,89.1,18.0,9,1.657
,9,589.0,575.7,3.4,1623.0,20,115,1806,343,5.2,122.7,19.0,9,1.661
,10,589.0,659.8,4.4,1415.7,18,116,1880,564,5.9,124.9,19.0,9,1.693
