Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_40,1,819.0,1010.2,11.4,0.0,24,104,1038,264,0.0,0.0,22.0,3,1.024
,2,819.0,1213.7,11.7,0.0,29,102,1075,274,0.0,162.3,23.0,3,1.059
,3,819.0,926.4,11.5,0.0,20,102,1088,277,0.0,193.5,24.0,5,1.182
,4,819.0,1257.4,12.9,0.0,16,103,1088,277,0.0,202.3,38.0,5,1.438
,5,819.0,1318.2,12.0,0.0,18,103,1113,283,0.9,216.4,42.0,6,1.567
,6,819.0,1120.6,11.8,0.0,28,103,1063,357,1.1,249.5,44.0,6,1.743
,7,819.0,1734.7,12.5,0.0,30,102,1088,366,1.4,269.1,45.0,7,1.834
,8,819.0,1937.8,12.2,0.0,29,102,1125,379,1.9,280.3,46.0,8,1.891
,9,819.0,1070.6,12.7,0.0,27,103,1500,485,2.1,293.4,49.0,8,1.964
,10,819.0,2001.6,11.7,0.0,22,101,6760,703,36.4,321.4,51.0,8,2.011
