Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_47,1,571.0,149.7,17.1,0.0,4,115,2550,217,0.0,15.2,13.0,2,0.609
,2,571.0,173.7,16.9,0.0,4,112,2650,225,0.0,16.7,14.0,2,0.66
,3,571.0,413.1,16.3,0.0,5,106,2650,225,0.0,17.9,15.0,3,0.679
,4,571.0,533.6,17.0,0.0,4,114,3976,196,0.0,19.3,15.0,4,0.712
,5,571.0,550.9,16.2,0.0,4,107,5567,529,0.0,21.2,17.0,4,0.741
,6,571.0,251.5,16.6,0.0,7,112,18292,486,0.0,23.6,17.0,6,0.793
,7,571.0,613.5,17.2,0.0,5,109,15660,854,0.0,26.7,18.0,6,0.894
,8,571.0,365.3,17.6,0.0,4,116,15080,761,0.0,29.5,18.0,7,0.931
,9,571.0,295.0,17.3,0.0,4,112,15660,788,0.0,31.5,19.0,7,0.99
,10,571.0,546.8,15.6,0.0,6,113,16530,1015,0.0,33.6,19.0,7,1.002
