Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_78,1,364.0,1226.2,19.1,13.0,22,111,4279,666,0.0,0.0,0.0,4,0.654
,2,364.0,741.8,20.6,0.0,17,112,1703,157,0.0,0.0,1.0,4,0.693
,3,364.0,1399.5,19.3,0.4,25,107,1922,181,0.0,0.0,2.0,4,0.734
,4,364.0,1332.8,18.7,0.0,22,109,1913,183,0.0,0.0,2.0,5,0.774
,5,364.0,1422.3,19.1,0.0,22,107,1735,170,0.0,0.0,3.0,6,0.782
,6,364.0,1670.9,19.5,2.2,24,110,2183,218,0.4,5.0,3.0,7,0.807
,7,364.0,1141.6,19.0,0.0,28,108,2240,281,0.7,5.0,17.0,7,0.812
,8,364.0,947.8,19.0,3.0,22,110,2350,290,2.2,5.1,17.0,8,0.83
,9,364.0,1574.4,19.3,0.0,20,110,2475,262,2.9,43.8,82.0,8,0.854
,10,364.0,1251.4,20.4,0.0,22,111,2560,255,4.7,55.2,115.0,9,0.884
