Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_27,1,563.9,336.6,21.3,0.0,4,106,6800,1600,0.0,0.0,0.0,0,
,2,563.9,240.2,22.1,0.0,3,104,7050,2470,0.0,0.0,0.0,0,0.881
,3,563.9,155.3,22.4,0.0,3,104,7300,2800,0.0,0.0,0.0,0,0.892
,4,563.9,77.0,23.0,0.0,2,105,7850,3500,0.0,0.0,0.0,6,0.912
,5,563.9,146.3,22.5,0.0,2,108,10500,5430,0.0,0.0,0.0,6,0.923
,6,563.9,216.3,21.2,0.0,4,111,12500,6870,0.0,0.0,0.0,6,0.939
,7,563.9,77.1,22.4,0.0,4,106,18000,7600,0.0,0.0,0.0,7,0.954
,8,563.9,90.3,22.8,0.0,2,105,21500,8240,0.0,0.0,0.0,7,0.96
,9,563.9,238.5,22.8,0.0,2,103,26640,9353,0.0,72.6,0.0,8,0.986
,10,563.9,62.0,22.7,0.0,2,102,30535,10234,42.5,107.6,0.0,8,0.998
