Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_100,1,662.0,1564.4,11.0,212.0,35,111,3861,1249,0.0,1.6,12.0,2,1.682
,2,662.0,1199.3,12.4,32.0,34,118,3170,1295,6.2,3.6,23.0,5,1.712
,3,662.0,1252.5,12.5,64.3,30,118,3100,1265,27.8,6.5,44.0,6,1.723
,4,662.0,1297.4,11.1,92.0,33,112,3131,1278,37.4,10.6,56.0,9,1.735
,5,662.0,1351.5,11.4,141.0,31,114,3162,1290,56.4,38.1,78.0,9,1.777
,6,662.0,1251.4,11.2,254.8,27,117,3194,1303,71.5,89.9,95.0,10,1.794
,7,662.0,1157.2,11.7,158.7,19,119,3226,1316,89.9,172.1,113.0,11,1.947
,8,662.0,1844.3,10.8,209.0,38,113,3258,1330,109.8,222.3,144.0,12,1.993
,9,662.0,1285.8,11.3,85.5,30,111,3291,1343,140.8,292.8,167.0,12,2.122
,10,662.0,1110.7,12.8,33.2,27,117,3324,1356,193.7,305.6,180.0,12,2.212
