Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_87,1,743.0,572.2,5.4,447.6,17,110,1970,480,0.0,0.0,0.0,2,1.603
,2,743.0,412.6,4.3,871.0,16,116,1810,450,0.0,0.0,0.0,2,1.639
,3,743.0,307.3,5.6,672.0,11,108,1920,570,0.0,153.1,0.0,2,1.657
,4,743.0,625.6,4.2,789.0,15,112,2100,630,0.0,155.7,0.0,2,1.668
,5,743.0,602.6,4.7,932.0,13,112,2695,783,0.0,201.8,0.0,4,1.673
,6,743.0,728.3,4.8,685.0,14,110,2700,810,0.6,218.9,0.0,4,1.689
,7,743.0,652.7,4.7,709.0,18,113,3450,850,2.2,229.4,0.0,4,1.693
,8,743.0,511.1,5.4,676.0,18,117,3800,980,3.4,245.2,0.0,4,1.712
,9,743.0,631.0,4.7,819.0,16,108,4300,1110,6.7,254.3,1.0,5,1.743
,10,743.0,674.5,3.9,1012.0,20,115,4510,1550,11.7,259.8,21.0,5,1.76
