Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_50,1,520.0,313.9,15.9,0.0,4,114,4150,166,0.0,36.9,10.0,3,1.29
,2,520.0,369.3,16.4,0.0,5,109,6400,307,0.0,43.9,11.0,3,1.3
,3,520.0,250.0,15.8,4.0,4,119,6450,310,0.0,47.8,13.0,4,1.31
,4,520.0,256.0,15.7,8.0,4,114,6200,290,0.0,51.5,13.0,4,1.321
,5,520.0,392.7,15.6,0.0,6,115,5870,250,0.0,54.8,21.0,5,1.369
,6,520.0,476.2,16.4,0.0,4,112,4560,198,0.0,59.2,21.0,5,1.396
,7,520.0,524.5,15.5,0.0,3,118,3550,156,0.0,64.6,22.0,4,1.412
,8,520.0,272.4,15.8,0.0,4,114,3700,163,0.0,66.1,22.0,5,1.445
,9,520.0,612.3,16.2,0.0,4,111,3700,163,0.0,82.5,27.0,5,1.464
,10,520.0,580.1,16.6,0.0,4,116,3750,165,0.0,103.1,27.0,5,1.49
