Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_56,1,282.0,379.7,12.5,171.2,7,111,1850,255,6.3,0.0,13.0,16,1.961
,2,282.0,564.9,13.6,57.7,4,108,1760,260,23.1,5.4,14.0,16,2.0
,3,282.0,579.5,12.9,110.7,6,112,1820,255,39.4,10.6,15.0,17,2.016
,4,282.0,419.9,13.0,111.7,7,107,1960,270,46.6,12.2,17.0,18,2.029
,5,282.0,381.5,12.9,168.0,5,105,2050,290,53.4,18.1,24.0,18,2.042
,6,282.0,449.6,13.1,121.0,5,102,1960,285,71.2,21.4,35.0,18,2.052
,7,282.0,449.0,12.8,100.6,6,109,1755,265,82.4,24.8,48.0,19,2.065
,8,282.0,542.1,12.8,62.0,5,113,1755,270,93.9,32.2,54.0,21,2.37
,9,282.0,639.7,12.0,123.0,6,107,1822,257,98.8,37.8,55.0,23,2.4
,10,282.0,444.2,13.5,58.7,6,110,1868,266,169.5,44.4,56.0,25,2.516
