Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_42,1,1194.0,549.0,14.1,0.0,6,118,8125,774,0.0,0.0,0.0,0,0.916
,2,1194.0,438.2,14.7,3.0,5,119,8935,810,0.0,0.0,0.0,3,1.03
,3,1194.0,626.4,14.7,0.0,8,120,9575,895,1.8,28.5,13.0,4,1.04
,4,1194.0,826.6,15.2,0.0,6,120,10100,960,7.8,31.4,17.0,4,1.19
,5,1194.0,965.3,14.2,0.0,6,117,10730,1000,13.6,35.7,24.0,6,1.28
,6,1194.0,707.0,14.2,0.0,6,119,10730,1000,21.3,39.2,32.0,6,1.413
,7,1194.0,1332.1,14.7,0.0,6,120,10730,1000,28.9,43.9,37.0,7,1.509
,8,1194.0,1079.3,15.1,0.0,6,112,12325,1149,187.6,48.1,45.0,8,1.569
,9,1194.0,709.2,15.0,0.0,4,118,12325,1149,192.3,53.4,63.0,8,1.581
,10,1194.0,1255.9,13.7,0.1,8,130,12325,908,196.7,61.2,69.0,8,1.604
