Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_51,1,520.0,384.1,16.2,0.0,3,118,3650,478,0.0,67.3,27.0,3,1.528
,2,520.0,876.5,14.3,0.0,4,120,3750,488,0.0,75.3,27.0,3,1.544
,3,520.0,252.6,15.8,0.0,3,114,3850,616,0.0,88.7,31.0,3,1.606
,4,520.0,433.2,16.1,0.0,4,110,3850,616,0.0,87.9,31.0,5,1.613
,5,520.0,554.4,16.3,0.0,4,116,3850,655,0.0,110.0,34.0,5,1.636
,6,520.0,382.2,16.1,0.0,4,116,4200,714,0.0,116.4,39.0,6,1.64
,7,520.0,393.2,16.6,0.0,3,110,4500,675,0.0,123.4,41.0,6,1.645
,8,520.0,385.2,16.2,0.0,5,119,4600,690,0.0,139.5,83.0,8,1.653
,9,520.0,500.1,16.2,0.0,3,111,4850,728,0.0,153.7,83.0,9,1.661
,10,520.0,538.7,16.2,0.0,4,115,5950,560,0.0,196.3,85.0,12,1.67
