Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_19,1,1028.7,380.7,18.5,1.0,3,111,5300,180,0.0,287.6,32.0,6,0.752
,2,1028.7,349.8,18.4,0.0,3,115,5550,230,3.2,361.3,43.0,6,0.781
,3,1028.7,441.3,18.6,0.0,4,115,5850,240,5.4,365.1,54.0,7,0.803
,4,1028.7,288.6,18.7,0.0,3,110,5990,310,5.9,390.5,58.0,8,0.93
,5,1028.7,413.4,19.2,0.0,3,113,6200,400,6.1,405.4,64.0,8,0.987
,6,1028.7,272.5,19.4,0.0,3,108,7200,580,8.7,480.2,102.0,12,1.02
,7,1028.7,141.2,19.9,0.0,2,105,6700,550,32.5,520.4,116.0,12,1.07
,8,1028.7,198.7,19.4,0.0,2,106,7000,550,80.4,560.2,124.0,15,1.197
,9,1028.7,282.8,18.2,0.0,4,114,8000,600,115.2,605.3,137.0,18,1.243
,10,1028.7,101.6,19.6,0.0,2,101,8171,544,119.4,612.4,140.0,19,1.316
