Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_14,1,439.6,427.9,12.4,97.0,4,116,4200,1260,0.0,6.5,0.0,5,0.965
,2,439.6,419.2,12.2,14.7,6,114,3750,1425,0.0,8.0,0.0,5,1.086
,3,439.6,420.4,12.6,34.0,6,120,3950,1500,0.0,11.3,0.0,6,1.091
,4,439.6,463.2,12.0,13.0,6,113,3900,1530,0.0,16.5,0.0,6,1.064
,5,439.6,280.0,12.9,23.4,5,116,3840,1580,0.0,18.5,0.0,7,1.086
,6,439.6,288.8,13.3,4.6,6,112,3560,1640,1.0,21.0,0.0,7,1.091
,7,439.6,226.2,13.7,18.0,4,111,3800,1900,1.0,21.1,4.0,7,1.155
,8,439.6,400.6,13.1,37.5,2,110,3900,1950,15.0,28.1,4.0,8,1.185
,9,439.6,390.5,11.9,16.6,5,112,4040,2000,85.0,28.3,4.0,8,1.265
,10,439.6,204.4,13.1,6.2,4,107,4200,2100,86.5,28.9,4.0,8,1.449
