Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_39,1,405.0,2632.5,10.1,19.5,7,107,3840,260,0.0,59.5,6.0,3,0.871
,2,405.0,1745.0,10.0,5.6,4,108,3840,260,0.0,80.5,6.0,3,0.92
,3,405.0,1693.2,10.3,0.0,8,109,3840,260,0.0,87.3,7.0,4,0.95
,4,405.0,1538.1,10.5,1.0,5,109,4000,271,1.2,101.5,9.0,5,1.317
,5,405.0,1724.4,11.0,9.0,4,108,4000,271,1.9,108.4,14.0,5,1.524
,6,405.0,1831.7,11.1,0.0,6,110,4000,271,2.5,115.4,17.0,6,1.592
,7,405.0,1760.8,11.0,4.0,9,107,4400,298,3.7,123.6,28.0,6,1.669
,8,405.0,2148.9,10.7,3.0,9,110,4400,298,7.7,135.8,30.0,6,1.819
,9,405.0,2283.3,10.8,5.0,5,110,4360,295,9.9,190.8,34.0,7,1.837
,10,405.0,1585.7,10.0,14.0,9,109,4360,295,10.3,229.4,36.0,8,1.863
