Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_94,1,440.0,495.4,1.8,2365.0,16,120,1699,131,0.0,62.3,19.0,3,1.159
,2,440.0,467.8,3.0,1792.0,19,118,1732,132,0.0,70.7,19.0,3,1.25
,3,440.0,765.4,3.1,1974.6,21,114,1521,117,0.0,175.7,21.0,4,1.283
,4,440.0,530.2,2.5,1676.0,24,118,1630,127,0.0,203.2,23.0,4,1.302
,5,440.0,726.5,2.4,1740.0,20,114,1709,131,0.0,251.9,27.0,5,1.347
,6,440.0,544.2,3.5,1779.8,20,119,1812,139,0.0,281.8,27.0,5,1.429
,7,440.0,585.4,2.6,2091.7,17,119,1920,148,0.0,303.0,36.0,6,1.582
,8,440.0,760.3,1.0,2536.0,23,114,2035,157,0.0,315.2,39.0,6,1.732
,9,440.0,642.5,2.7,1900.8,19,121,2158,166,0.0,320.2,39.0,7,1.928
,10,440.0,605.0,5.2,1286.3,22,120,2240,175,0.0,329.5,48.0,7,1.983
