Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_74,1,356.0,745.9,20.3,0.0,19,125,3150,334,0.0,146.7,0.0,2,0.692
,2,356.0,1421.9,18.8,0.6,15,120,3150,334,0.0,153.2,0.0,2,0.697
,3,356.0,1183.0,18.3,0.0,20,116,2700,286,0.0,162.9,0.0,2,0.704
,4,356.0,1310.8,18.7,0.0,16,116,3600,382,0.0,174.3,0.0,3,0.721
,5,356.0,1582.4,18.5,1.3,36,115,3150,334,0.0,185.3,4.0,4,0.734
,6,356.0,1091.3,18.9,0.7,23,116,3150,334,1.0,196.4,7.0,4,0.742
,7,356.0,1085.3,18.3,10.0,24,122,3150,334,1.2,207.0,8.0,4,0.758
,8,356.0,1315.1,18.8,1.8,19,113,3150,334,1.5,211.0,34.0,5,0.768
,9,356.0,1175.1,19.7,0.0,24,119,3600,382,2.0,219.3,41.0,6,0.77
,10,356.0,751.9,19.7,2.9,13,125,3850,662,2.1,225.3,49.0,6,0.771
