Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_65,1,876.0,338.3,8.6,395.0,5,109,2520,355,0.0,7.3,0.0,7,1.107
,2,876.0,316.9,7.8,336.2,5,124,2925,375,0.0,7.8,0.0,7,1.41
,3,876.0,346.3,8.2,338.0,7,110,3130,375,0.0,13.3,0.0,8,1.532
,4,876.0,300.5,7.3,382.0,6,107,3465,441,0.0,23.3,1.0,8,1.592
,5,876.0,289.7,8.7,347.8,5,110,2640,415,0.5,34.5,1.0,10,1.652
,6,876.0,320.1,8.2,165.6,6,125,4230,385,4.0,43.2,1.0,10,1.726
,7,876.0,337.5,8.3,420.0,4,107,4430,410,7.0,54.3,1.0,10,1.772
,8,876.0,368.2,7.9,360.8,5,109,4740,425,8.0,59.6,2.0,12,1.901
,9,876.0,266.8,8.2,278.2,7,112,5150,455,13.0,73.5,2.0,12,2.008
,10,876.0,269.0,8.5,175.8,6,104,5450,505,18.5,85.4,2.0,13,2.091
