Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_99,1,1181.0,1283.2,7.1,713.0,28,109,9140,730,0.0,1.4,0.0,7,0.573
,2,1181.0,1196.1,8.5,332.0,24,112,9362,609,0.0,9.3,2.0,8,0.611
,3,1181.0,1339.3,8.5,440.4,31,120,9645,623,1.2,25.8,6.0,8,0.652
,4,1181.0,1190.7,7.2,475.0,25,117,9968,645,12.3,30.7,6.0,8,0.67
,5,1181.0,1078.8,7.6,650.0,20,110,10100,660,31.8,48.7,8.0,10,0.712
,6,1181.0,1306.4,7.6,726.3,28,127,10570,690,77.5,52.0,10.0,10,0.728
,7,1181.0,1176.5,8.0,546.4,16,121,11270,730,92.4,56.7,11.0,10,0.782
,8,1181.0,1599.4,7.5,569.0,28,110,11800,820,117.5,62.3,13.0,11,0.835
,9,1181.0,1193.8,7.5,473.6,28,122,12100,850,122.2,67.7,15.0,12,0.983
,10,1181.0,1364.9,9.2,274.3,24,112,12500,880,131.4,72.4,18.0,12,0.996
