Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_53,1,612.0,236.0,7.3,657.0,3,111,430,65,0.0,167.6,14.0,4,2.2
,2,612.0,336.5,7.8,517.0,6,111,395,75,0.0,209.4,16.0,5,2.26
,3,612.0,370.8,6.9,562.1,7,112,375,100,3.9,272.9,22.0,5,2.3
,4,612.0,458.3,7.7,485.0,8,110,425,90,6.4,304.1,37.0,6,2.38
,5,612.0,466.1,6.2,564.0,7,113,450,95,9.8,314.7,51.0,6,2.44
,6,612.0,291.2,8.3,416.3,6,110,470,89,14.9,322.6,53.0,6,2.512
,7,612.0,483.0,7.5,260.4,8,109,495,80,19.7,356.7,57.0,7,2.585
,8,612.0,521.9,7.4,526.0,6,110,525,85,19.9,380.7,59.0,8,2.754
,9,612.0,495.9,7.1,542.8,6,110,542,81,22.3,402.5,60.0,8,2.771
,10,612.0,360.8,7.6,391.2,9,109,565,87,24.6,410.9,62.0,9,2.821
