Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_32,1,411.5,1845.3,16.9,10.0,23,110,753,330,0.0,0.0,0.0,5,0.897
,2,411.5,1258.2,17.5,6.6,21,113,775,339,1.8,1.0,0.0,6,0.903
,3,411.5,1201.5,16.9,27.0,19,113,798,350,21.1,3.7,0.0,6,0.94
,4,411.5,1475.3,17.1,5.3,14,114,822,360,30.6,14.6,0.0,7,0.972
,5,411.5,1396.7,18.4,0.0,16,115,847,371,109.2,45.5,0.0,7,0.978
,6,411.5,1145.2,18.0,6.2,12,118,872,382,114.4,20.4,0.0,8,1.121
,7,411.5,845.2,17.8,12.0,12,116,899,394,119.3,26.7,0.0,8,1.185
,8,411.5,1167.2,17.4,3.0,12,118,925,405,125.8,31.4,1.0,10,1.373
,9,411.5,1117.8,18.0,3.0,16,114,953,418,148.9,45.5,0.0,11,1.708
,10,411.5,1593.8,17.1,6.0,15,114,982,430,190.1,52.4,0.0,17,2.183
