Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_58,1,635.0,741.5,9.9,233.0,6,104,4320,1165,0.0,131.9,13.0,19,1.202
,2,635.0,684.4,9.6,179.2,6,110,4500,1280,0.0,133.0,14.0,19,1.298
,3,635.0,664.2,9.9,168.0,9,100,4500,1355,0.0,143.4,16.0,19,1.328
,4,635.0,727.3,8.7,237.0,8,101,4850,1430,0.0,162.4,16.0,20,1.36
,5,635.0,562.8,10.5,139.0,7,103,5100,1590,0.0,171.2,15.0,20,1.37
,6,635.0,630.7,9.6,143.2,8,99,5450,1640,0.0,183.4,16.0,23,1.399
,7,635.0,623.4,9.7,299.0,6,98,5800,1780,0.0,196.5,17.0,23,1.425
,8,635.0,665.4,9.3,289.0,7,100,6210,1820,0.0,206.9,17.0,24,1.462
,9,635.0,704.4,9.9,169.4,8,107,6390,1880,0.5,247.6,18.0,25,1.512
,10,635.0,724.9,10.2,84.0,7,101,6300,1850,1.0,285.5,22.0,25,1.552
