Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_88,1,317.0,458.5,4.0,972.0,20,116,1057,162,0.0,10.3,4.0,4,1.361
,2,317.0,512.6,4.2,1199.1,17,117,1200,200,0.0,21.4,5.0,5,1.365
,3,317.0,471.8,3.9,1097.3,15,112,1270,190,0.0,48.7,7.0,5,1.37
,4,317.0,500.9,2.1,1769.0,12,116,1240,190,0.0,59.4,9.0,6,1.385
,5,317.0,395.4,4.9,921.4,15,120,1290,200,0.0,75.4,9.0,7,1.387
,6,317.0,501.5,5.8,880.2,9,113,1370,210,0.0,81.2,9.0,7,1.398
,7,317.0,632.4,5.4,552.3,15,115,1300,150,0.0,85.0,10.0,7,1.412
,8,317.0,431.0,4.2,984.0,17,116,1120,180,0.0,122.3,10.0,8,1.442
,9,317.0,250.7,5.9,725.0,12,117,1170,200,4.4,153.4,11.0,8,1.483
,10,317.0,537.2,4.4,860.0,12,124,1180,170,5.7,169.6,12.0,8,1.492
