Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_46,1,323.0,60.7,18.5,6.0,2,112,2825,2492,0.0,11.6,21.0,3,0.781
,2,323.0,103.7,17.5,16.0,3,110,2800,2470,0.0,19.5,43.0,3,0.864
,3,323.0,179.3,17.1,0.0,4,119,2800,2470,0.0,35.3,43.0,4,0.929
,4,323.0,280.6,17.5,0.0,3,113,4335,1578,0.0,45.5,46.0,4,1.094
,5,323.0,383.4,16.9,0.0,4,115,4335,1578,0.0,57.6,47.0,4,1.132
,6,323.0,147.1,18.0,0.0,4,109,4454,1621,0.0,79.7,48.0,5,1.167
,7,323.0,189.9,18.2,0.0,5,115,4290,1561,1.1,87.3,52.0,6,1.234
,8,323.0,159.7,18.8,0.0,3,111,4800,1750,1.3,96.3,56.0,7,1.297
,9,323.0,284.3,18.3,0.0,2,117,4414,1337,1.6,101.5,59.0,7,1.342
,10,323.0,188.2,16.8,0.0,3,116,4334,1305,2.1,109.9,65.0,8,1.387
