Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_12,1,505.5,272.7,19.0,0.0,4,103,4400,440,3.8,22.5,14.0,12,1.01
,2,505.5,155.0,19.8,0.0,3,109,4400,440,4.1,25.1,15.0,13,1.03
,3,505.5,380.7,18.5,1.0,3,111,4200,465,5.1,38.2,32.0,13,1.05
,4,505.5,349.8,18.4,0.0,3,115,3900,475,5.6,38.4,59.0,14,1.09
,5,505.5,441.3,18.6,0.0,4,115,4100,500,5.8,77.5,97.0,15,1.12
,6,505.5,288.6,18.7,0.0,3,110,4500,300,7.7,103.5,117.0,15,1.328
,7,505.5,413.4,19.2,0.0,3,113,4720,240,77.7,153.8,166.0,15,1.329
,8,505.5,272.5,19.4,0.0,3,108,5440,330,95.6,166.9,176.0,17,1.332
,9,505.5,141.2,19.9,0.0,2,105,5600,300,103.9,180.2,188.0,9,1.358
,10,505.5,198.7,19.4,0.0,2,106,5850,375,107.8,188.4,205.0,10,1.349
