Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_20,1,454.6,145.6,21.7,0.0,3,106,3650,730,0.0,0.0,0.0,0,
,2,454.6,212.3,22.4,0.0,3,109,3500,700,2.3,0.0,0.0,0,0.591
,3,454.6,181.8,21.3,0.0,3,109,4500,900,4.6,0.0,0.0,0,0.626
,4,454.6,247.1,21.1,0.0,3,117,2100,625,6.3,6.3,47.9,5,0.643
,5,454.6,291.6,21.3,0.0,2,110,2200,650,13.3,15.3,53.5,9,0.674
,6,454.6,264.1,21.1,0.0,4,111,2700,690,63.2,25.3,57.0,20,0.697
,7,454.6,213.8,21.8,0.0,2,109,2800,700,150.4,34.3,62.4,40,0.721
,8,454.6,174.1,22.2,0.0,3,110,2850,700,240.2,63.2,67.0,95,0.735
,9,454.6,93.8,22.6,0.0,2,107,3000,780,304.8,120.5,69.0,100,0.759
,10,454.6,108.7,22.1,0.0,2,112,3100,820,330.4,304.8,75.0,110,0.78
