Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_5,1,434.4,369.1,9.8,79.0,9,117,5600,1980,0.0,163.5,27.0,0,1.034
,2,434.4,275.7,10.6,90.9,6,113,5650,2000,0.0,167.9,29.0,3,1.058
,3,434.4,308.1,10.9,44.9,7,113,6400,2800,0.0,170.8,31.0,4,1.09
,4,434.4,193.3,11.4,71.0,4,120,7150,3750,0.0,182.5,31.0,5,1.1
,5,434.4,328.2,10.7,149.6,3,119,8250,4200,0.0,185.1,32.0,5,1.126
,6,434.4,250.4,9.9,98.2,6,118,9300,4300,0.0,189.7,32.0,5,1.137
,7,434.4,215.2,10.8,68.2,8,108,10200,4650,0.0,214.0,34.0,6,1.527
,8,434.4,224.5,11.6,57.0,5,107,12632,5979,0.0,253.0,34.0,6,1.727
,9,434.4,293.4,11.6,110.0,5,111,12884,6099,0.0,261.8,34.0,6,1.771
,10,434.4,149.0,11.7,72.0,3,110,13142,6225,0.0,276.2,34.0,6,1.792
