Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_70,1,418.0,1141.9,17.1,25.0,19,121,4396,460,0.0,89.5,0.0,3,0.932
,2,418.0,734.9,19.0,0.0,11,117,5850,328,0.0,89.5,0.0,3,0.951
,3,418.0,1391.5,17.7,1.3,14,119,5400,302,0.0,110.5,1.0,3,0.963
,4,418.0,1529.3,17.0,1.0,20,114,8550,479,1.0,114.9,2.0,3,0.972
,5,418.0,1161.5,17.4,1.0,12,113,9900,554,1.0,121.6,4.0,3,1.029
,6,418.0,1917.3,17.1,8.9,27,115,10800,605,1.3,129.5,4.0,4,1.038
,7,418.0,1350.1,17.8,6.5,21,116,10350,580,1.4,137.6,5.0,4,1.095
,8,418.0,1219.1,17.2,18.0,22,124,10575,592,1.7,140.8,8.0,5,1.129
,9,418.0,1283.8,17.5,4.4,14,119,9450,529,1.7,277.4,11.0,5,1.162
,10,418.0,1482.8,18.6,0.0,18,118,10350,580,1.9,285.12,24.0,5,1.297
