Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_9,1,520.7,240.2,22.1,0.0,3,104,7000,1700,0.0,0.0,0.0,2,0.798
,2,520.7,155.3,22.4,0.0,3,104,7680,2300,0.0,0.0,0.0,2,0.802
,3,520.7,77.0,23.0,0.0,2,105,8000,2600,0.0,0.0,0.0,2,0.835
,4,520.7,146.3,22.5,0.0,2,108,7000,3000,0.0,0.0,0.0,6,0.838
,5,520.7,216.3,21.2,0.0,4,111,6800,2700,0.0,0.0,0.0,6,0.842
,6,520.7,77.1,22.4,0.0,4,106,19437,7674,0.0,0.0,1.0,7,0.847
,7,520.7,90.3,22.8,0.0,2,105,22755,8472,0.0,0.0,1.0,7,0.851
,8,520.7,238.5,22.8,0.0,2,103,26640,9353,0.0,119.5,1.0,8,0.857
,9,520.7,62.0,22.7,0.0,2,102,30525,10234,0.0,239.5,4.0,8,0.858
,10,520.7,195.8,22.9,0.0,3,100,12284,7546,0.0,311.3,6.0,8,0.859
