Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_16,1,487.6,70.7,20.2,0.0,2,108,3400,180,5.5,7.4,11.0,4,1.721
,2,487.6,152.1,19.1,5.0,3,108,3200,180,17.3,49.9,44.0,5,1.741
,3,487.6,224.4,18.8,0.0,4,109,3000,190,62.3,93.2,59.0,6,1.883
,4,487.6,300.6,19.2,0.0,2,107,3150,200,159.2,103.7,61.0,6,1.995
,5,487.6,382.6,18.6,0.0,4,109,3300,170,167.4,115.6,64.0,6,2.358
,6,487.6,192.9,19.6,0.0,4,107,3400,140,177.5,123.5,85.0,7,1.38
,7,487.6,174.1,20.0,0.0,4,109,3400,210,194.5,131.7,114.0,7,2.423
,8,487.6,221.6,20.4,0.0,3,107,3500,250,228.8,148.3,128.0,8,2.515
,9,487.6,225.4,19.8,0.0,2,111,3650,300,239.2,156.4,137.0,10,2.561
,10,487.6,244.1,18.5,0.0,4,109,4200,350,248.8,160.5,141.0,10,2.6
