Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_37,1,1351.0,645.0,8.2,206.0,4,117,1575,619,0.0,0.0,4.0,10,1.311
,2,1351.0,649.0,8.7,48.2,4,117,1550,608,0.0,1.5,7.0,10,1.338
,3,1351.0,745.6,9.4,139.0,5,115,1550,621,0.0,2.1,15.0,10,1.382
,4,1351.0,846.1,7.1,270.0,5,120,1500,600,0.0,2.6,15.0,11,1.405
,5,1351.0,580.2,8.3,204.5,4,112,1500,600,0.0,3.4,16.0,11,1.436
,6,1351.0,1101.2,8.7,78.2,6,121,1550,608,0.0,5.3,16.0,11,1.46
,7,1351.0,1039.7,8.9,99.0,5,114,1375,539,11.3,5.8,17.0,13,1.62
,8,1351.0,605.7,8.4,104.4,4,114,1375,539,14.2,6.3,18.0,14,1.71
,9,1351.0,1243.4,7.7,145.3,3,110,1400,512,18.3,8.3,19.0,16,1.91
,10,1351.0,667.3,8.1,161.0,5,114,1550,543,20.5,9.45,19.0,17,1.93
