Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_4,1,543.6,222.5,22.5,0.0,3,107,1700,570,0.0,0.0,0.0,0,1.31
,2,543.6,229.0,21.2,0.0,3,109,1880,660,0.0,0.0,0.0,5,1.36
,3,543.6,226.6,21.1,0.0,3,108,1380,490,0.0,0.0,4.0,5,1.419
,4,543.6,424.4,21.2,0.0,2,105,1760,620,1.1,20.7,4.0,6,1.518
,5,543.6,257.1,21.2,0.0,4,111,1800,620,0.3,28.8,37.0,6,1.578
,6,543.6,256.0,21.8,0.0,3,109,1600,610,0.4,41.5,41.0,7,1.645
,7,543.6,226.7,22.1,0.0,3,108,1760,860,8.2,52.3,51.0,7,1.692
,8,543.6,82.7,22.6,0.0,2,106,1800,900,14.5,55.5,61.0,8,1.729
,9,543.6,135.4,22.2,0.0,2,109,1900,1130,24.8,57.3,64.0,8,1.889
,10,543.6,93.2,22.5,0.0,4,110,2140,1270,28.5,60.5,67.0,11,2.004
