Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_23,1,579.1,175.3,17.6,17.0,3,110,2100,275,22.5,2.4,0.0,1,0.56
,2,579.1,218.6,17.4,0.0,4,112,2300,350,49.5,4.7,1.0,3,0.632
,3,579.1,304.7,17.8,1.0,3,114,2400,375,80.2,16.7,1.0,5,0.74
,4,579.1,354.5,17.0,0.0,3,117,2500,400,115.7,29.5,1.0,6,0.742
,5,579.1,161.1,18.2,0.0,4,106,2800,400,166.4,66.8,1.0,6,0.765
,6,579.1,170.7,18.5,0.0,4,110,3020,660,250.4,72.8,2.0,7,0.793
,7,579.1,223.9,18.9,0.0,3,110,3060,720,305.0,81.6,2.0,8,0.812
,8,579.1,228.2,18.4,0.1,2,113,3200,700,365.9,95.6,2.0,9,0.851
,9,579.1,225.0,17.2,0.0,4,114,3350,790,440.3,112.5,4.0,9,0.975
,10,579.1,130.0,18.4,0.0,3,103,3500,900,524.6,135.6,4.0,11,0.994
