Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_55,1,612.0,445.3,7.5,427.0,8,110,90,47,0.5,19.4,19.0,1,1.102
,2,612.0,558.4,7.7,427.0,6,108,91,47,1.7,26.1,20.0,1,1.107
,3,612.0,533.2,7.2,469.0,8,112,91,47,2.8,26.6,20.0,2,1.229
,4,612.0,318.9,9.5,322.0,4,109,120,55,1.9,27.0,23.0,2,1.232
,5,612.0,460.1,7.7,530.0,5,111,120,55,3.2,27.3,23.0,2,1.307
,6,612.0,536.6,8.3,352.0,7,119,130,59,3.6,27.7,25.0,2,1.385
,7,612.0,514.2,8.8,362.0,8,111,100,48,4.3,34.5,26.0,3,1.465
,8,612.0,452.1,8.2,504.0,6,107,110,53,4.5,53.0,27.0,3,1.495
,9,612.0,507.3,8.7,377.7,8,110,110,53,5.1,59.0,27.0,3,1.532
,10,612.0,383.0,8.8,363.0,4,106,115,54,6.3,82.0,28.0,3,1.583
