Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_62,1,1022.0,449.6,13.1,121.0,5,102,1960,285,0.0,0.0,0.0,2,1.051
,2,1022.0,449.0,12.8,100.6,6,109,1755,265,2.0,0.0,7.0,5,1.115
,3,1022.0,542.1,12.8,62.0,5,113,1755,270,4.3,26.4,14.0,5,1.198
,4,1022.0,639.7,12.0,123.0,6,107,1822,257,7.6,32.8,15.0,5,1.255
,5,1022.0,444.2,13.5,58.7,6,110,1868,266,13.2,43.3,19.0,6,1.289
,6,1022.0,372.6,13.0,64.3,5,107,1870,225,23.9,66.4,20.0,6,1.324
,7,1022.0,474.5,13.0,131.0,4,101,2230,230,35.4,83.2,20.0,7,1.605
,8,1022.0,549.0,12.3,154.9,4,111,2300,240,48.5,97.8,23.0,7,1.689
,9,1022.0,442.3,13.1,78.4,3,104,2385,250,58.9,143.2,23.0,8,1.784
,10,1022.0,576.2,13.3,24.8,7,108,2385,250,75.5,176.7,26.0,9,1.932
