Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_98,1,901.0,1360.7,9.9,167.0,40,103,12530,880,0.0,14.9,2.0,9,1.015
,2,901.0,1332.4,11.1,45.0,36,103,13350,921,0.0,21.7,9.0,10,1.017
,3,901.0,1399.1,11.0,62.9,40,105,10710,739,0.0,25.2,10.0,10,1.034
,4,901.0,1271.1,9.7,117.0,39,103,11334,827,0.0,27.6,11.0,10,1.037
,5,901.0,1225.1,10.2,126.0,32,102,12266,882,0.0,28.7,13.0,11,1.045
,6,901.0,1206.4,10.2,188.9,40,109,13197,937,0.0,30.6,18.0,11,1.056
,7,901.0,1052.5,10.4,94.2,34,106,13751,976,0.0,34.7,23.0,12,1.061
,8,901.0,1648.8,9.8,152.0,44,107,14588,1036,4.8,43.2,24.0,12,1.068
,9,901.0,1354.1,10.3,54.9,35,102,14880,1056,5.2,71.1,24.0,12,1.0763
,10,901.0,1531.0,11.1,34.9,40,100,15150,1077,5.9,74.5,33.0,13,1.087
