Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_15,1,593.9,79.5,18.7,5.0,2,108,2450,245,24.2,165.8,69.0,5,1.671
,2,593.9,175.3,17.6,17.0,3,110,2400,300,55.8,166.1,91.0,5,1.681
,3,593.9,218.6,17.4,0.0,4,112,2300,350,131.9,167.5,101.0,8,1.703
,4,593.9,304.7,17.8,1.0,3,114,2400,375,133.2,171.8,109.0,8,1.712
,5,593.9,354.5,17.0,0.0,3,117,2600,390,214.4,194.3,116.0,11,1.721
,6,593.9,161.1,18.2,0.0,4,106,2800,400,220.5,199.5,119.0,11,1.734
,7,593.9,170.7,18.5,0.0,4,110,3020,660,265.7,234.6,127.0,14,1.882
,8,593.9,223.9,18.9,0.0,3,110,3060,720,286.7,244.1,129.0,16,1.93
,9,593.9,228.2,18.4,0.1,2,113,3200,700,305.0,257.8,133.0,16,1.946
,10,593.9,225.0,17.2,0.0,4,114,3400,740,305.0,261.3,139.0,16,1.962
