Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_29,1,475.0,380.7,18.5,1.0,3,111,3780,467,7.5,82.1,2.0,18,0.994
,2,475.0,349.8,18.4,0.0,3,115,3900,475,17.2,104.0,6.0,18,1.051
,3,475.0,441.3,18.6,0.0,4,115,4100,500,19.3,111.6,24.0,19,1.091
,4,475.0,288.6,18.7,0.0,3,110,4600,300,20.3,140.6,36.0,19,1.099
,5,475.0,413.4,19.2,0.0,3,113,4720,240,211.6,180.5,43.0,19,1.11
,6,475.0,272.5,19.4,0.0,3,108,5440,330,258.8,191.3,45.0,20,1.12
,7,475.0,141.2,19.9,0.0,2,105,5600,300,271.8,195.5,51.0,20,1.15
,8,475.0,198.7,19.4,0.0,2,106,6500,460,298.5,221.4,54.0,21,1.17
,9,475.0,282.8,18.2,0.0,4,114,7000,500,318.5,240.4,55.0,21,1.19
,10,475.0,101.6,19.6,0.0,2,101,4927,774,340.5,262.3,62.0,21,1.22
