Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_10,1,520.7,182.6,21.6,0.0,3,105,7200,2160,0.0,0.0,0.0,0,0.783
,2,520.7,297.7,21.3,0.0,4,105,7600,2280,0.0,0.0,0.0,0,0.794
,3,520.7,366.8,21.5,0.0,2,104,7840,2352,0.0,0.0,0.0,0,0.8
,4,520.7,336.6,21.3,0.0,4,106,6850,2275,0.0,0.0,0.0,2,0.812
,5,520.7,240.2,22.1,0.0,3,104,7200,2400,0.0,0.0,0.0,2,0.834
,6,520.7,155.3,22.4,0.0,3,104,6800,1600,0.0,0.0,0.0,4,0.848
,7,520.7,77.0,23.0,0.0,2,105,7050,2470,0.0,12.1,0.0,4,0.862
,8,520.7,146.3,22.5,0.0,2,108,7140,2550,2.7,20.5,0.0,4,1.023
,9,520.7,216.3,21.2,0.0,4,111,7430,2950,11.6,50.3,0.0,6,1.679
,10,520.7,77.1,22.4,0.0,4,106,7700,3300,92.9,67.7,0.0,6,1.839
