Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_96,1,652.0,411.4,2.4,2089.0,12,111,1272,249,0.0,0.0,7.0,1,1.075
,2,652.0,388.0,3.2,1676.0,19,120,1454,276,0.0,0.0,8.0,2,1.081
,3,652.0,575.2,3.3,1761.8,17,113,1427,271,0.0,0.0,9.0,2,1.089
,4,652.0,489.5,3.0,1399.0,20,119,1484,282,0.0,16.3,9.0,2,1.097
,5,652.0,624.8,2.6,1523.0,20,119,1543,293,0.0,44.7,10.0,3,1.11
,6,652.0,437.4,3.1,1755.0,17,111,1605,305,0.0,74.6,13.0,3,1.153
,7,652.0,525.1,2.1,2017.6,19,117,1669,317,0.0,87.5,13.0,3,1.351
,8,652.0,604.7,0.6,2455.0,21,111,1736,330,0.0,108.4,16.0,4,1.391
,9,652.0,575.7,3.4,1623.0,20,115,1806,343,0.0,134.2,16.0,4,1.423
,10,652.0,659.8,4.4,1415.7,18,116,1910,352,0.0,138.3,17.0,5,1.456
