Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_18,1,492.8,338.4,16.8,0.3,4,110,7200,1944,0.0,0.0,0.0,11,1.154
,2,492.8,159.8,17.7,0.0,3,115,7200,2160,0.0,20.2,0.0,11,1.182
,3,492.8,662.9,16.5,5.0,4,114,7840,3136,0.0,50.0,0.0,12,1.219
,4,492.8,332.3,16.2,0.0,3,120,6650,1575,0.0,88.5,1.0,13,1.291
,5,492.8,530.4,16.4,0.0,5,113,7000,1650,0.0,89.0,2.0,13,1.353
,6,492.8,355.2,16.7,0.0,4,119,6800,1400,0.0,93.5,2.0,14,1.393
,7,492.8,405.2,17.2,0.0,3,115,7150,1600,0.0,98.2,5.0,14,1.445
,8,492.8,280.1,17.4,0.0,3,108,7500,2250,0.0,116.8,10.0,14,1.487
,9,492.8,183.2,17.8,0.0,2,113,7300,2500,0.0,125.4,10.0,15,1.521
,10,492.8,276.4,17.4,1.0,2,111,7800,2140,0.0,131.6,10.0,17,1.604
